65536; 1; 0.000138; 0.001514
65536; 2; 0.000033; 0.000920
65536; 4; 0.000020; 0.000933
65536; 8; 0.000024; 0.000927
65536; 16; 0.000026; 0.001005
65536; 32; 0.000262; 0.001166
65536; 64; 0.000618; 0.001989
65536; 128; 0.000157; 0.002021
65536; 256; 0.000096; 0.002026
65536; 512; 0.000013; 0.002000
65536; 1024; 0.000009; 0.002027
65536; 2048; 0.000003; 0.003707
65536; 4096; 0.000002; 0.004643
65536; 8192; 0.000001; 0.001934
65536; 16384; 0.000005; 0.001633
65536; 32768; 0.000000; 0.001529
131072; 1; 0.000039; 0.000924
131072; 2; 0.000031; 0.000920
131072; 4; 0.000034; 0.000935
131072; 8; 0.000033; 0.000934
131072; 16; 0.000040; 0.001005
131072; 32; 0.000064; 0.001162
131072; 64; 0.000368; 0.001957
131072; 128; 0.000276; 0.002008
131072; 256; 0.000062; 0.001968
131072; 512; 0.000034; 0.001983
131072; 1024; 0.000012; 0.002050
131072; 2048; 0.000011; 0.003866
131072; 4096; 0.000009; 0.004806
131072; 8192; 0.000001; 0.004483
131072; 16384; 0.000001; 0.001659
131072; 32768; 0.000000; 0.001627
131072; 65536; 0.000000; 0.001505
262144; 1; 0.000178; 0.000918
262144; 2; 0.000284; 0.000921
262144; 4; 0.000545; 0.000947
262144; 8; 0.001800; 0.000936
262144; 16; 0.014314; 0.001080
262144; 32; 0.032254; 0.001312
262144; 64; 0.058902; 0.002006
262144; 128; 0.109532; 0.001995
262144; 256; 0.151388; 0.002043
262144; 512; 0.235208; 0.002092
262144; 1024; 0.261333; 0.002303
262144; 2048; 0.314704; 0.003932
262144; 4096; 0.314690; 0.005285
262144; 8192; 0.000007; 0.004994
262144; 16384; 0.000002; 0.004355
262144; 32768; 0.000000; 0.001671
262144; 65536; 0.000001; 0.002674
262144; 131072; 0.000002; 0.005221
524288; 1; 0.000348; 0.000937
524288; 2; 0.000589; 0.000940
524288; 4; 0.001103; 0.000959
524288; 8; 0.004749; 0.000980
524288; 16; 0.044009; 0.001272
524288; 32; 0.207409; 0.001958
524288; 64; 0.923375; 0.003305
524288; 128; 0.979126; 0.004465
524288; 256; 0.961829; 0.003483
524288; 512; 0.968009; 0.003492
524288; 1024; 0.966455; 0.003435
524288; 2048; 1.031471; 0.004287
524288; 4096; 1.032601; 0.006038
524288; 8192; 0.310626; 0.005414
524288; 16384; 0.000009; 0.005044
524288; 32768; 0.000001; 0.004861
524288; 65536; 0.000000; 0.002304
524288; 131072; 0.000000; 0.002656
524288; 262144; 0.000000; 0.001480
1048576; 1; 0.000323; 0.000922
1048576; 2; 0.000574; 0.000928
1048576; 4; 0.001061; 0.000933
1048576; 8; 0.004748; 0.000963
1048576; 16; 0.043670; 0.001254
1048576; 32; 0.215009; 0.001935
1048576; 64; 0.999956; 0.003387
1048576; 128; 1.000068; 0.003411
1048576; 256; 1.000137; 0.003488
1048576; 512; 1.000393; 0.003391
1048576; 1024; 1.001795; 0.003813
1048576; 2048; 1.055383; 0.004312
1048576; 4096; 1.051711; 0.005989
1048576; 8192; 1.046450; 0.005903
1048576; 16384; 0.232324; 0.005124
1048576; 32768; 0.000010; 0.005197
1048576; 65536; 0.000002; 0.005047
1048576; 131072; 0.000000; 0.002379
1048576; 262144; 0.000000; 0.001592
1048576; 524288; 0.000000; 0.001460
